103.152.202.0/24,TW,TW-TPE,Taipei City,
103.152.203.0/26,TW,TW-TPE,Taipei City,
103.152.203.64/26,TW,TW-TPE,Taipei City,
103.152.203.128/25,TW,TW-TPE,Taipei City,
36.50.248.0/23,TW,TW-TPE,Taipei City,
2401:5f20::/32,TW,TW-TPE,Taipei City,
160.25.104.0/23,TW,TW-TPE,Taipei City,
2401:af20::/32,TW,TW-TPE,Taipei City,
103.147.22.0/24,TW,TW-TPE,Taipei City,
103.147.23.0/24,HK,,Hong Kong,
2405:a640::/32,TW,TW-TPE,Taipei City,
103.158.186.0/24,TW,TW-TPE,Taipei City,
103.158.187.0/24,TW,TW-TPE,Taipei City,
2406:bfc0::/32,TW,TW-TPE,Taipei City,
103.160.180.0/24,TW,TW-TPE,Taipei City,
103.160.181.0/24,TW,TW-TPE,Taipei City,
2406:ee40::/32,TW,TW-TPE,Taipei City,
103.186.118.0/24,TW,TW-TPE,Taipei City,
103.186.119.0/24,TW,TW-TPE,Taipei City,
2400:70e0::/32,TW,TW-TPE,Taipei City,
103.220.218.0/24,TW,TW-TPE,Taipei City,
103.220.219.0/24,TW,TW-TPE,Taipei City,
2401:0a60::/32,TW,TW-TPE,Taipei City,
103.236.226.0/24,TW,TW-TPE,Taipei City,
103.236.227.0/24,TW,TW-TPE,Taipei City,
2401:16a0::/32,TW,TW-TPE,Taipei City,
157.15.32.0/24,TW,TW-TPE,Taipei City,
157.15.33.0/24,TW,TW-TPE,Taipei City,
2401:7a60::/32,TW,TW-TPE,Taipei City,
210.79.150.0/24,TW,TW-TPE,Taipei City,
210.79.151.0/24,TW,TW-TPE,Taipei City,
2401:55a0::/32,TW,TW-TPE,Taipei City,
210.79.154.0/24,TW,TW-TPE,Taipei City,
210.79.155.0/24,TW,TW-TPE,Taipei City,
2401:55e0::/32,TW,TW-TPE,Taipei City,
2406:840:f337::/48,CN,,,
2404:c140:2596::/48,HK,,Hong Kong,
2a0f:607:1051::/48,JP,JP-13,Tokyo,
2a0f:5707:ffa0::/48,AS,,,
2a0f:5707:ffa1::/48,CU,CU-03,La Habana,
2a0f:5707:ffa2::/48,MP,,,
2a0f:5707:ffa3::/48,PR,,,
2a0f:5707:ffa4::/48,KP,KP-01,Pyongyang,
2a0f:5707:ffa5::/48,UM,UM-95,Palmyra Atoll,
2a0f:5707:ffa6::/48,SY,SY-DI,Dimashq,
2a0f:5707:ffa7::/48,MM,,Nay Pyi Taw,
2a0f:5707:fff2::/48,DE,DE-HE,Frankfurt am Main,
2a06:a005:500::/44,US,,,
2a0f:5707:ffe3::/48,TW,TW-TPE,Taipei City,
2a0e:b107:1310::/44,CH,CH-ZH,Zurich,
2602:faad:3::/48,GB,GB-ENG,London,
2602:fc1d:101::/48,US,US-CA,San Francisco,
